name,Kind,Alcohol,Aroma,Taste,Finish
리치몬드 라거,맥주,5.0,"시트러스, 상쾌한","경쾌한 탄산, 고소한, 빵","깔끔한, 청량한"
칭따오 마스터 리미티드 비어 2021,라거 맥주,6.0,"캐러멜, 토피넛, 꿀, 아몬드","구운 몰트, 진한","몰트, 쌉쌀한"
양춘맥주,맥주,4.6,고소한,"몰트, 풍부한",깔끔한 탄산감
구미호 루비 테일,수제맥주,5.0,"오미자, 복분자, 후추","오미자, 복분자, 초콜릿, 알싸한, 상큼한","깔끔한, 풍부한"
에페스 드래프트,맥주,5.0,"신선한, 홉, 몰트","몰트, 시원한 탄산감",깔끔한
에페스 필스너,필스너 맥주,5.0,"몰트, 청량한","고소한, 홉, 은은한","청량한, 깔끔한"
롬자 라거,맥주,5.7,"곡물, 비스킷, 홉","홉, 허브, 꽃, 꿀","부드러운, 깔끔한"
맥스,맥주,4.7,"몰트, 열대 과일, 꽃","과일, 꽃, 쌉쌀한, 몰트","청량한, 깔끔한"
에페스 몰트,필스너 맥주,5.0,"몰트, 비스킷, 캐러멜, 홉, 허브","구운 빵, 고소한, 달콤한","청량한, 고소한"
에페스 필스너,필스너 맥주,5.0,"몰트, 청량한, 홉","고소한, 몰트, 홉","깔끔한, 청량한"
바이엔슈테판 헤페바이스,맥주,5.4,"바나나, 정향, 과일, 풍선껌","바나나, 몰트, 고소한","부드러운, 향긋한"
딤채 X 구미호 엠버테일,맥주,8.0,"오크, 스모키, 달콤한, 생강, 후추","배숙, 상큼한, 꿀","배, 달콤한, 꿀, 스모키"
맥스 뉴질랜드 스페셜 호프 2021,맥주,4.7,"몰트, 열대 과일, 꽃","과일, 꽃, 쌉쌀한, 몰트","청량한, 깔끔한"
1664 블랑,밀맥주,5.0,"감귤, 살구, 복숭아, 고수, 꽃","오렌지, 바나나, 레몬, 자몽","부드러운, 상쾌한"
파울라너 옥토버페스트,맥주(메르첸),6.0,"몰트, 쌉쌀한","묵직한, 몰트","청량한, 구수한"
알함브라 에스페셜,페일 라거 맥주,5.4,"과일, 꽃, 몰트","캐러멜, 몰트","균형 잡힌, 부드러운"
어메이징 애니버서리 에일 2021,맥주,11.2,"캐러멜, 건포도, 크랜베리, 플로럴","건자두, 진득한, 몰트","달콤한, 브라우니, 스모키"
싱글몰트 사워,맥주,11.2,"시트러스, 감귤, 위스키","풍부한, 온화한, 새콤한, 위스키 사워","산뜻한, 가벼운, 달콤한"
르쁘띠베레 블랑드 블랑,무알콜 맥주,0.0,"신선한, 꽃, 시트러스, 감귤","우아한, 산뜻한, 과일, 사과","버섯, 효모, 트러플"
에딩거 둔켈,맥주,5.3,"몰트, 캐러멜, 견과류","구운 빵, 고소한","부드러운, 조화로운, 묵직한"
에딩거 둔켈,맥주,5.3,"몰트, 견과류, 캐러멜, 코코아","고소한, 커피, 구운 빵","부드러운, 조화로운, 묵직한"
에딩거 헤페,맥주,5.3,"몰트, 효모, 섬세한, 꽃, 신선한","스파이시, 몰트, 과일, 달콤한","부드러운, 우아한, 긴 여운, 홉"
칭따오 퓨어 드래프트,맥주,4.3,"몰트, 홉","부드러운, 신선한, 쌉쌀한","청량한, 깔끔한, 탄산감"
카스 화이트,맥주,4.5,"향긋한, 홉","부드러운, 몰트","깔끔한, 청량한, 상쾌한"
제주맥주X블루보틀 커피 골든 에일,맥주,5.0,"열대 과일, 리치, 시트러스, 감귤, 레몬 껍질","섬세한, 밝은, 과일, 구스베리, 건포도, 블루베리, 쌉쌀한, 홉","은은한, 커피, 캐러멜"
치얼스,맥주,4.1,"패션프루트, 시트러스, 감귤","열대 과일, 상큼한, 가벼운","깔끔한, 홉"
칭따오 1903,맥주,5.0,"달콤한, 몰트, 홉","묵직한, 풍부한, 쌉쌀한","청량한, 깔끔한, 탄산감"
칭따오 라이트,맥주,3.3,"몰트, 홉","부드러운, 신선한, 쌉쌀한","청량한, 깔끔한, 탄산감"
제주 거멍 에일,맥주,4.3,"커피, 다크 초콜릿, 견과류","청량한, 가벼운, 부드러운, 쌉쌀한, 산미","깔끔한, 산뜻한"
데슈츠 프레쉬 스퀴즈드 IPA 12캔,맥주,6.4,"패션프루트, 오렌지 껍질, 홉","상큼한, 시트러스, 감귤, 열대 과일, 자몽","깔끔한, 상쾌한, 균형 잡힌, 홉"
