name,Kind,Alcohol,Aroma,Taste,Finish
레미 마틴 VSOP,꼬냑,40.0,"바닐라, 오크, 꽃, 감초","구운 사과, 복숭아","부드러운, 살구"
까뮤 VSOP,꼬냑,40.0,"균형 잡힌, 신선한, 열대 과일, 타닌","과일, 플로럴","바닐라, 향신료"
다니엘 부쥬 VSOP,꼬냑,40.0,"바닐라, 풋사과, 오크, 향신료, 초콜릿","말린 과일, 바닐라, 자두, 달콤한","섬세한, 우아한"
다니엘 부쥬 XO,꼬냑,40.0,"견과류, 시나몬, 바닐라","자두, 포도 잼, 호두","란시오, 긴 여운, 부드러운"
헨리 무니에 VSOP,꼬냑,40.0,"말린 과일, 자두, 살구, 오크, 꽃","견과류, 과일, 복숭아, 포도, 달콤한","부드러운, 스파이시"
까뮤 포트 캐스크 피니쉬,꼬냑,43.2,"설탕, 과일 잼, 구운 아몬드, 꽃","블랙 체리, 스파이시, 오크","부드러운, 긴 여운, 다크 초콜릿"
까뮤 몽바지악 캐스크 피니쉬,꼬냑,40.0,"말린 과일, 향신료, 오렌지 껍질","원두, 오렌지, 꽃, 강렬한, 열대 과일","부드러운, 긴 여운, 달콤한, 커피"
까뮤 XO,꼬냑,40.0,"꽃, 과일, 오크, 향신료","살구, 오렌지, 과일 잼, 설탕","균형 잡힌, 부드러운, 긴 여운"
까뮤 보더리 XO,꼬냑,40.0,"꽃, 구운 빵, 바닐라","계피, 건포도, 말린 과일","부드러운, 스파이시, 과일, 긴 여운"
꼬띠에르 VSOP,꼬냑,40.0,"꽃, 참나무, 스파이스, 오크","건포도, 말린 무화과, 설탕, 부드러운","균형 잡힌, 스파이스, 달콤한, 오크"
다니엘 부쥬 로얄,꼬냑,60.0,"시가, 바닐라, 후추, 향신료","부드러운, 복합적인, 말린 과일","긴 여운, 우아한, 나무"
다니엘 부쥬 트레뷰,꼬냑,40.0,"바닐라, 오크, 후추, 코코아, 시가 박스, 건포도","복합적인, 우아한, 체리, 말린 과일","긴 여운, 강렬한, 달콤한"
폴 지로 엘레강스,꼬냑,40.0,"말린 꽃, 대추, 복숭아, 과일","살구, 아몬드, 견과류, 향신료","꿀, 바닐라, 스파이시"
폴 지로 리저브,꼬냑,40.0,"살구, 복숭아, 신선한, 과일, 구운 자두","무화과, 구운 아몬드, 살구, 바닐라","꿀, 바닐라, 정향, 스파이시, 견과류"
헤네시 파라디,꼬냑,40.0,"붉은 과일, 꿀, 장미, 시트러스, 감귤","달콤한, 오렌지, 바나나, 초콜릿","긴 여운, 우아한, 스파이스, 오크"
리차드 헤네시,꼬냑,40.0,"꽃, 향신료, 블랙 페퍼, 바닐라, 달콤한","다채로운, 과일, 오크, 견과류","긴 여운, 오크"
꼬냑 메스트로 VS,꼬냑,40.0,"꽃, 바닐라, 청포도, 향신료, 가벼운 오크","토피, 바나나, 졸인 사과","균형 잡힌, 스파이시, 긴 여운"
꼬냑 메스트로 VSOP,꼬냑,40.0,"프루티, 말린 과일, 꽃","화사한, 코코넛, 밀랍, 레몬, 바닐라","오크, 화사한, 토피, 향신료, 사과, 청포도"
꼬냑 메스트로 XO,꼬냑,40.0,"시트러스, 감귤, 오렌지, 초콜릿","달콤한, 설탕에 절인 과일, 캐러멜","실키, 부드러운, 오렌지, 바닐라"
프라팡 시가 블렌드,꼬냑,40.0,"호두, 헤이즐넛, 바닐라, 야생화, 산사나무","포트 와인, 말린 과일, 시가 박스","긴 여운, 란시오"
프라팡 샤또 퐁피노 XO,꼬냑,41.0,"목초, 아몬드, 마른 꽃, 오렌지 껍질","말린 과일, 마지팬, 헤이즐넛, 누가","란시오, 복합적인"
장 퓨 라 뿌이드,꼬냑,42.0,"바닐라, 꽃, 핵과류","살구, 신선한, 아몬드, 열대 과일","긴 여운, 스파이시, 포도"
폴 지로 트레아,꼬냑,40.0,"시가, 가죽, 정향, 후추, 말린 과일, 꽃","구운 아몬드, 살구, 복숭아, 스파이시","건자두, 바닐라, 우아한, 긴 여운, 따뜻한"
헤네시 VSOP,꼬냑,40.0,"오크, 후추, 정향, 계피, 민트","자두, 블랙베리, 꿀, 감초","오크, 강렬한, 부드러운"
헤네시 XO,꼬냑,40.0,"잼, 설탕에 절인 과일, 오크","스파이시, 다크 초콜릿, 후추","바닐라, 복합적인, 따뜻한, 초콜릿"
다니엘 부쥬 로얄,꼬냑,60.0,"바닐라, 후추, 향신료, 시가","말린 과일, 부드러운, 복합적인","나무, 우아한, 긴 여운"
에이치 바이 하인 VSOP,꼬냑,40.0,"꽃, 바닐라, 사과, 신선한","과일, 꽃, 부드러운","은은한, 블랙베리, 후추"
하인 레어 디 오리지날,꼬냑,40.0,"은은한, 제비꽃, 자스민, 풍부한, 오렌지, 사탕, 스파이시","풍부한, 마멀레이드, 사과, 살구, 과일, 생강, 스파이시","잘 익은 과일, 포도, 오크, 복숭아, 살구"
하인 앤티크 XO,꼬냑,40.0,"스파이시, 후추, 과일, 달콤한, 계피, 라벤더, 꽃","균형 잡힌, 풍부한, 스파이시","블랙베리, 과일, 후추, 호두, 무화과, 타르트"
프라팡 15년,꼬냑,45.3,"진한, 나무, 바닐라, 과일, 홍차, 말린 꽃","토스트, 말린 과일, 온화한, 향신료","긴 여운, 살구, 제비꽃"
프라팡 밀레짐 1992 26년,꼬냑,40.5,"신선한, 살구, 딸기, 꽃, 다크 초콜릿","시트러스, 감귤, 풀, 후추, 토피","긴 여운, 타바코, 감귤 껍질"
프랑소와 페이로 셀렉션,꼬냑,40.0,"과일, 꽃, 달콤한, 바닐라","과일, 달콤한, 신선한","실키, 우아한"
프라팡 밀레짐 1989 30년,꼬냑,40.3,"레몬 껍질, 향신료","우디, 생강, 정향, 레몬, 사과, 살구, 비스킷","스모키, 시가 박스, 가죽, 란시오"
다니엘 부쥬 브룻 드 픗,꼬냑,50.0,"말린 과일, 셰리, 바닐라, 후추, 코코아, 시가 박스, 리무쟁 오크","우아한, 신선한, 화려한, 복합적인","긴 여운, 화사한, 밝은"
다니엘 부쥬 리저브 패밀리에,꼬냑,42.0,"달콤한, 가죽, 타바코, 민트, 감초","진한, 우아한, 란시오, 타닌, 꽃, 나무, 산미","긴 여운, 스파이시"
장 퓨 VSOP 섭틸 앤 쏘,꼬냑,40.0,"시트러스, 감귤, 꽃, 달콤한","무화과, 머스캣, 오렌지, 아몬드, 화사한","따뜻한, 신선한, 복합적인, 풍부한"
장 퓨 XO 그랑 리저브,꼬냑,44.0,"말린 과일, 바닐라, 꿀, 초콜릿, 설탕에 절인 과일","망고, 오렌지, 살구, 복숭아, 엘더플라워, 견과류, 꿀, 란시오","메이플 시럽, 다크 초콜릿, 시나몬, 홍차, 긴 여운, 향신료"
장 퓨 오다주 그랑 샹파뉴 한복 No.1,꼬냑,42.0,"화사한, 꽃, 바이올렛, 건포도, 꿀, 란시오","달콤한, 자두, 복숭아, 시나몬, 진저, 가죽","온화한, 긴 여운, 향신료"
발레앙 테시니에 로트 89 팡 부아 1989,꼬냑,48.5,"바닐라, 섬세한, 시나몬, 시트러스, 감귤, 자두, 채소, 타바코, 회향","바닐라, 배, 살구","구운 호두, 마데이라, 미묘한, 자두, 프랄린"
발레앙 테시니에 1990 봉 부아,꼬냑,42.9,"아몬드, 포트 와인","스파이시, 신선한, 오일리, 절인 살구, 후추","구운 헤이즐넛, 미묘한, 바닐라, 자스민"
발레앙 테시니에 로트 96 팡 부아 1996,꼬냑,48.7,"미묘한, 바이올렛, 살구, 열대 과일, 자스민, 케이크","레몬, 감초, 바이올렛, 후추, 풍부한","구운 빵, 꿀, 밤, 백차, 플로럴"
발레앙 테시니에 1998 쁘띠 상파뉴,꼬냑,42.1,"마시멜로, 망고, 바닐라, 바이올렛, 진저 캔디, 시가 박스, 열대 과일, 패션프루트","감초, 계피, 균형 잡힌, 자두, 후추","복숭아, 살구"
발레앙 테시니에 로트 72 쁘띠 상파뉴,꼬냑,51.3,"복합적인, 샤프란, 포트 와인, 프랄린","감초, 바닐라, 버번, 부드러운 타닌, 오렌지, 케이크, 헤더 꿀","건포도, 견과류, 스모키, 타바코"
바쉐 가브리엘센 VSOP 트리플 캐스크,꼬냑,40.0,"나무, 대추 야자, 말린 과일, 바닐라, 살구, 아몬드, 헤이즐넛","과일, 바나나, 우아한","향신료, 긴 여운"
바쉐 가브리엘센 아메리칸 오크,꼬냑,40.0,"견과류, 바닐라, 섬세한, 열대 과일, 코코넛, 코코아, 파인애플","풍부한, 오크, 부드러운","말린 과일, 오크, 스파이시"
바쉐 가브리엘센 XO 파인 상파뉴,꼬냑,40.0,"꽃, 꿀, 바닐라, 시가, 시나몬, 아이리스","균형 잡힌, 말린 과일, 후추, 초콜릿","계피, 달콤한, 향신료"
바쉐 가브리엘센 세레니트 엑스트라 그랑 상파뉴,꼬냑,40.0,"마멀레이드, 모카, 비터 오렌지, 우아한","꽃, 둥근, 바닐라, 커피","풍부한, 긴 여운"
