name,Kind,Alcohol,Aroma,Taste,Finish
헨드릭스 진,진,44.0,"감귤, 오이, 장미, 향나무","오렌지, 오이, 장미, 제비꽃, 허브","꽃, 신선한"
정원 진,진,47.0,"보리, 은은한, 곡물, 허브, 산뜻한","레몬, 오렌지, 시트러스",묵직한
봄베이 사파이어,진,47.0,"과일, 꽃","고수, 레몬, 베리",강렬한
마틴 밀러 진,진,40.0,"레몬, 신선한, 소나무","감귤, 주니퍼 베리, 청량한","상쾌한, 은은한"
코발 드라이 진,진,47.0,"라벤더, 바닐라, 소나무","장미, 과일, 후추, 레몬","상쾌한, 풍부한"
시티 오브 런던 드라이 진,진,40.3,주니퍼 베리,"주니퍼 베리, 시트러스, 균형 잡힌, 스파이스, 미묘한","긴 여운, 시트러스"
헨드릭스 진 오이재배,진,44.0,"향나무, 감귤, 장미, 오이","허브, 오렌지, 제비꽃, 오이, 장미","꽃, 긴 여운"
봄베이 사파이어,진,47.0,"꽃, 과일","레몬, 베리, 고수",강렬한
코퍼헤드 오리지날 진,진,40.0,"시트러스, 달콤한","시트러스, 오렌지, 풀, 달콤한",깔끔한
브로커스 진,진,40.0,"순수한, 주니퍼 베리, 달콤한, 감귤 껍질, 시트러스","신선한, 보태니컬, 스파이시, 주니퍼 베리, 달콤한, 잘 익은 과일","온화한, 스파이시, 후추"
에비에이션 진,진,42.0,"오렌지 껍질, 라벤더, 고수, 카다멈","주니퍼 베리, 청량한, 레몬, 달콤한","시원한, 깔끔한"
르 진,진,43.0,"시트러스, 바닐라, 시나몬","부드러운, 스파이스",은은한
몰피 진 오리지날,진,41.0,"주니퍼 베리, 레몬, 자몽, 고수","달콤한, 레몬, 허브",시트러스
몰피 진 로사,진,41.0,"자몽, 주니퍼 베리","자몽, 달콤한, 쌉쌀한","자몽, 달콤한, 쌉쌀한"
하우스 픽 진,진,37.5,"레몬, 오렌지","주니퍼 베리, 솔잎","청량한, 주니퍼 베리"
코발 크랜베리 진,진 리큐르,30.0,"크랜베리, 과일, 라벤더, 소나무","크랜베리, 주니퍼 베리, 장미, 레몬","시트러스, 신선한"
텐커레이 No.10,진,47.3,"시트러스, 감귤, 라임, 레드 자몽, 안젤리카","주니퍼 베리, 오렌지, 레몬, 감초, 화이트 자몽","솔잎, 페퍼콘"
르 진,진,43.0,"시트러스, 바닐라, 시나몬","부드러운, 스파이스, 민트, 제비꽃",은은한
시티 오브 런던 더 스퀘어 마일 진,진,47.3,"소나무, 후추, 시트러스, 감귤","신선한, 자몽, 레몬","후추, 레몬, 소나무"
시티 오브 런던 올드 톰 진,진,40.3,"허브, 신선한, 소나무","소나무, 오렌지, 시트러스, 감귤","달콤한, 계피, 레몬"
디스틸러리 드 파리 벨 에어 진,진,43.0,"망고, 파인애플, 패션프루트, 신선한","감귤, 꽃, 레몬 그라스","주니퍼 베리, 조화로운"
봄베이 사파이어 홀리데이,진,47.0,"은은한, 꽃, 과일","레몬, 주니퍼 베리, 고수",강렬한
브로커스 진,진,40.0,"순수한, 주니퍼 베리, 달콤한, 시트러스, 감귤, 과일 껍질","신선한, 보태니컬, 스파이시, 주니퍼 베리, 달콤한, 잘 익은 과일","온화한, 스파이시, 후추"
휘틀리 닐 드라이 진,진,43.0,"주니퍼 베리, 시트러스, 감귤, 플로럴, 후추","카시아 껍질, 아카시아 꿀, 오렌지, 파인애플","긴 여운, 허브, 코코아, 설탕, 레몬"
텐커레이 No.10,진,47.3,"시트러스, 감귤, 라임, 레드 자몽, 안젤리카","주니퍼 베리, 오렌지, 레몬, 감초, 화이트 자몽","솔잎, 페퍼콘"
넘버3 런던 드라이 진,진,46.0,"상쾌한, 주니퍼 베리, 꽃","생강, 시트러스, 향신료","후추, 깔끔한"
텐커레이 진,진,47.3,"꽃, 시트러스, 감귤, 안젤리카","선명한, 주니퍼 베리, 감초","산뜻한, 솔잎, 페퍼콘"
십스미스 런던 드라이 진,진,41.6,"시트러스, 감귤, 꽃, 향나무","주니퍼 베리, 오렌지 마멀레이드","균형 잡힌, 후추, 레몬 타르트"
휘틀리 닐 라즈베리 진,진,43.0,"스파이시, 주니퍼 베리, 감초, 고수, 라즈베리","균형 잡힌, 히비스커스, 라즈베리","긴 여운, 타임 허브, 시트러스, 감귤, 라즈베리"
휘틀리 닐 루바브 앤 진저 진,진,43.0,"강렬한, 생강, 루바브","강렬한, 따뜻한, 생강, 오렌지","긴 여운, 달콤한, 오렌지, 고수"
헬싱키 드라이 진,진,47.0,"숲, 플로럴, 시트러스","회향, 코리앤더 씨드, 붓꽃, 허브, 장미꽃","긴 여운, 깔끔한"
헬싱키 세일러스 진,진,57.2,"숲, 플로럴, 시트러스, 허브","회향, 코리앤더 씨드, 붓꽃, 허브, 장미꽃","긴 여운, 묵직한, 스파이시"
르 진 깔바도스 캐스크 피니쉬,진,42.0,"청포도, 계피, 오크","흙내음, 주니퍼 베리, 사과","풍부한, 향신료"
르 진 카르미나,진,42.0,"라즈베리, 블랙커런트, 달콤한","달콤한, 시트러스, 라즈베리","부드러운, 긴 여운"
르 진 피라,진,42.0,"배, 사과, 시트러스","과일, 후추, 아이리스","부드러운, 생동감, 긴 여운"
마틴 밀러 진,진,40.0,"레몬, 소나무, 부드러운","감초, 감귤, 시트러스, 스파이시","레몬, 상쾌한, 은은한, 상큼한, 아이리스"
에비에이션 진,진,42.0,"오렌지 껍질, 라벤더, 고수, 카다멈","주니퍼 베리, 청량한, 달콤한, 레몬","시원한, 깔끔한"
큐로 진,진,46.3,"달콤한, 허브, 시트러스, 감귤","깊은, 허브, 호밀, 알싸한",복합적인
큐로 다크 진,진,42.6,"꽃, 오렌지, 오크","달콤한, 꿀, 오렌지, 쌉쌀한, 오크","복합적인, 중후한"
클로버 진,진,40.0,"꽃, 신선한, 카다멈","코리앤더 씨드, 주니퍼 베리","라벤더, 정향, 흑후추"
클로버 진 No.4,진,44.0,"시트러스, 감귤, 허브","녹차, 베르가못, 진한, 카다멈, 꽃","균형 잡힌, 긴 여운"
봄베이 사파이어 진토닉,진,47.0,"레몬 껍질, 붓꽃, 시트러스, 감귤","레몬, 고수, 주니퍼 베리, 후추","강렬한, 허브"
텐커레이 No.10 최원우 바텐더 스페셜,진,47.3,"신선한, 라임, 자몽, 오렌지, 산뜻한, 주니퍼 베리","풍부한, 시트러스, 상쾌한, 크리미, 주니퍼 베리, 커스터드, 쌉쌀한, 얼그레이티, 스파이시, 감초","솔잎, 시트러스, 페퍼콘, 깔끔한, 긴 여운"
미라보 드라이 진,진,43.0,"주니퍼 베리, 시트러스, 감귤, 라벤더, 장미","허브, 레몬, 라벤더, 과일, 은은한","허브, 꽃"
코발 드라이 진,진,47.0,"라벤더, 바나나, 바닐라, 소나무","레몬, 과일, 장미, 주니퍼 베리, 후추","상쾌한, 풍부한"
볼스 쥬니버,진,42.0,"견과류, 산뜻한, 살구, 체리, 호밀","몰트, 묵직한, 주니퍼 베리, 풍부한","달콤한, 묵직한, 허브"
볼스 담락 오리지널 진,진,41.8,"고수, 시트러스, 감귤, 주니퍼 베리","레몬, 계피, 아니스, 오렌지","감초, 소나무, 오렌지, 허브"
보타니스트 진,진,46.0,"고수, 민트, 시트러스, 감귤, 주니퍼 베리, 허브, 흙내음","복합적인, 부드러운, 섬세한, 시트러스, 감귤, 허브","꽃, 달콤한, 시나몬, 우드, 주니퍼 베리, 균형 잡힌"
퓨리스트 아트 진,진,42.0,"고수, 시트러스, 감귤, 주니퍼 베리, 플로럴","안젤리카 뿌리, 오렌지, 흑후추, 흙내음","깔끔한, 따뜻한"
퓨리스트 블랙 57 진,진,57.0,"섬세한, 오렌지","깊은, 부드러운, 유자, 주니퍼 베리, 크랜베리","미묘한 향신료, 시나몬, 카시아"
미라보 드라이 진,진,43.0,"라벤더, 장미, 주니퍼 베리, 시트러스, 감귤","라벤더, 허브, 과일, 은은한, 레몬","꽃, 허브"
44°N 진,진,44.0,"레몬 껍질, 자몽, 상큼한, 플로럴, 자스민, 꿀, 감귤, 시트러스","말린 오렌지, 감귤, 시트러스","주니퍼 베리, 후추"
정원 진,진,47.0,"허브, 산뜻한, 보리, 은은한, 곡물","레몬, 오렌지, 시트러스",묵직한
헬싱키 세일러스 진,진,57.2,"숲, 플로럴, 시트러스, 허브","회향, 붓꽃, 허브, 장미꽃, 코리앤더 씨드","긴 여운, 묵직한, 스파이시"
포 필라스 2022 크리스마스 진,진,43.8,"향긋한, 주니퍼 베리, 감귤, 시트러스, 라벤더, 시나몬","향신료, 건포도, 자두, 머스캣, 사과, 시나몬, 캐러멜","감초, 스파이시, 후추, 강황"
텐커레이 No.10,진,47.3,"신선한, 라임, 자몽, 오렌지, 산뜻한, 주니퍼 베리","풍부한, 시트러스, 상쾌한, 크리미, 주니퍼 베리, 커스터드, 쌉쌀한, 얼그레이티, 스파이시, 감초","솔잎, 시트러스, 페퍼콘, 깔끔한, 긴 여운"
코발 드라이 진,진,47.0,"라벤더, 바나나, 바닐라, 소나무","과일, 장미, 후추, 레몬, 주니퍼 베리","상쾌한, 풍부한"
보타니스트 진,진,46.0,"감귤, 시트러스, 고수, 흙내음, 허브, 주니퍼 베리, 민트","감귤, 시트러스, 허브, 섬세한, 부드러운, 복합적인","꽃, 균형 잡힌, 주니퍼 베리, 우드, 시나몬, 달콤한"
트러플 진,진,42.0,"감귤 껍질, 멘솔, 백리향","향나무, 흑후추, 흙내음, 미묘한","바질, 레몬 그라스"
헬싱키 드라이 진,진,47.0,"숲, 플로럴, 시트러스","회향, 붓꽃, 허브, 장미꽃, 코리앤더 씨드","긴 여운, 깔끔한"
휘틀리 닐 라즈베리 진,진,43.0,"스파이시, 감초, 고수, 라즈베리, 주니퍼 베리","균형 잡힌, 히비스커스, 라즈베리","타임 허브, 라즈베리, 시트러스, 감귤, 긴 여운"
포 필라스 블러디 쉬라즈 진,진,37.8,"신선한, 소나무, 스파이시, 농익은, 산딸기","달콤한, 균형 잡힌",긴 여운
포 필라스 유자 진,진,41.8,"감귤, 오렌지, 라임, 시트러스","자몽, 금귤, 유자, 녹차","감귤, 솔잎, 레몬 머틀, 레몬 커드"
포 필라스 셰리 캐스크 진,진,43.8,"소나무, 라벤더, 주니퍼 베리","과일, 견과류, 균형 잡힌, 진한","셰리, 달콤한"
봄베이 사파이어 하이볼,진,47.0,"과일, 꽃","고수, 레몬, 베리",강렬한
헨드릭스 진,진,44.0,"향나무, 감귤, 장미, 오이","허브, 오렌지, 제비꽃, 오이, 장미","꽃, 신선한"
포 필라스 진 크리스마스,진,43.8,"소나무, 시트러스, 라벤더, 계피","계피, 후추, 향신료, 시트러스, 자두, 머스캣","후추, 감초, 스파이시"
포 필라스 레어 드라이 진,진,41.8,"주니퍼 베리, 시트러스, 라벤더","계피, 후추, 향신료, 시트러스, 레몬 머틀","후추, 감초, 스파이시"
포 필라스 네이비 스트렝스 진,진,58.8,"소나무, 시트러스, 향신료","계피, 후추, 향신료, 시트러스","후추, 감초, 스파이시"
포 필라스 네그로니 진,진,43.8,"소나무, 라벤더","생강, 후추, 향신료, 스파이시, 상쾌한","후추, 감초, 스파이시"
몽키 47,진,47.0,"약초, 시트러스, 풍부한, 스파이시","크랜베리, 과일","스파이시, 약초"
넘버3 런던 드라이 진,진,46.0,"상쾌한, 주니퍼 베리, 꽃","생강, 향신료, 시트러스","후추, 깔끔한"
바톤 진,진,40.0,"레몬, 오렌지 마멀레이드, 민트, 바나나","주니퍼 베리, 부드러운, 과일","젤리, 휘핑크림, 초코, 허브"
고든스 진,진,43.0,"주니퍼 베리, 허브, 코리앤더 씨드","시트러스, 감귤, 주니퍼 베리","스파이시, 깔끔한"
선비 진 오크,진,48.0,"오크, 주니퍼 베리, 후추","청량한, 시트러스, 감귤","꽃, 오크, 바닐라"
볼스 담락 오리지널 진,진,41.8,"고수, 주니퍼 베리, 시트러스, 감귤","계피, 레몬, 아니스, 오렌지","감초, 소나무, 오렌지, 허브"
페어 주니퍼 진,진,42.0,"시트러스, 감귤, 라임","레몬, 주니퍼 베리, 고수","부드러운, 긴 여운, 섬세한"
헤이먼스 슬로진,진,26.0,"시트러스, 감귤","고수풀, 주니퍼 베리, 정향, 시나몬, 슬로 베리",복합적인
헤이먼스 런던 드라이 진,진,41.2,"주니퍼 베리, 고수풀, 레몬 껍질","오렌지 껍질, 시나몬, 정향","균형 잡힌, 상쾌한"
헤이먼스 올드 톰 진,진,40.0,"신선한, 주니퍼 베리, 오렌지 껍질","깨끗한, 달콤한, 주니퍼 베리, 시트러스, 감귤, 스파이시","깨끗한, 후추, 긴 여운"
헤이먼스 로얄 독 오브 뎁포드 진,진,57.0,"주니퍼 베리, 생강, 레몬, 코리앤더 씨드, 견과류","소나무, 주니퍼 베리, 바이올렛, 시트러스, 감귤, 달콤한","제비 꽃, 시트러스, 감귤, 블랙 페퍼"
불독 진,진,40.0,"주니퍼 베리, 고수풀","레몬, 감초, 아몬드, 시나몬","라벤더, 연꽃, 조화로운"
카룬 진,진,41.8,"신선한, 플로럴, 시트러스, 감귤, 스파이시","달콤한, 깨끗한, 크리스피","긴 여운, 크리스피"
고든스 런던 드라이 진 익스포트,런던 드라이 진,37.5,"주니퍼 베리, 허브, 코리앤더 씨드","시트러스, 감귤, 주니퍼 베리","스파이시, 깔끔한"
산토리 수이 진,진,40.0,"곡물, 바닐라, 배","과일, 스파이시",깨끗한
봄베이 사파이어 진토닉,진,47.0,"레몬 껍질, 붓꽃, 시트러스, 감귤","고수, 주니퍼 베리, 후추, 레몬","강렬한, 허브"
린드 앤 라임 진,진,44.0,"라임 껍질, 핑크 페퍼","시트러스, 감귤, 주니퍼 베리, 청량한","청량한, 주니퍼 베리"
텐커레이 진,진,47.3,"꽃, 시트러스, 감귤, 안젤리카","감초, 선명한, 주니퍼 베리","산뜻한, 솔잎, 페퍼콘"
몽키 47,진,47.0,"풍부한, 스파이시, 시트러스, 약초","크랜베리, 과일","스파이시, 약초"
텐커레이 No.10,진,47.3,"라임, 레드 자몽, 시트러스, 감귤, 안젤리카","감초, 레몬, 오렌지, 주니퍼 베리, 화이트 자몽","솔잎, 페퍼콘"
텐커레이 No.10 최원우 바텐더 스페셜,진,47.3,"라임, 레드 자몽, 안젤리카, 시트러스, 감귤","오렌지, 주니퍼 베리, 화이트 자몽, 레몬","솔잎, 페퍼콘"
정원 배럴 에이지드 진,진,46.5,"허브, 오크","향신료, 주니퍼 베리","농밀한, 복합적인"
볼스 담락 오리지널 진,진,41.8,"고수, 주니퍼 베리, 시트러스, 감귤","계피, 아니스, 오렌지, 레몬","감초, 소나무, 오렌지, 허브"
헨드릭스 넵튜니아 진,진,43.4,"시트러스, 감귤, 바다 내음","허브, 장미, 오이","부드러운, 시트러스, 감귤"
텐커레이 No.10 피버트리,진,47.3,"라임, 레드 자몽, 시트러스, 감귤, 안젤리카","감초, 레몬, 오렌지, 주니퍼 베리, 화이트 자몽","솔잎, 페퍼콘"
비피터 24,진,40.0,"허브, 꽃, 차","자몽, 오렌지, 레몬","고수, 감초, 녹차"
비피터,진,40.0,"고수, 오렌지 껍질, 레몬","주니퍼 베리, 안젤리카 뿌리, 꽃","후추, 시트러스, 감귤"
시타델 오리지날,진,44.0,"시트러스, 민트, 시원한","은은한 탄산감, 깔끔한, 개운한","온화한, 깔끔한, 신선한"
보타니스트 진,진,46.0,"고수, 민트, 시트러스, 감귤, 주니퍼 베리, 허브, 흙내음","복합적인, 부드러운, 섬세한, 시트러스, 감귤, 허브","균형 잡힌, 꽃, 달콤한, 시나몬, 우드, 주니퍼 베리"
스트레인지 러브 진,진,40.0,"주니퍼 베리, 엘더플라워","고수, 감귤",부드러운
비피터,진,40.0,"고수, 오렌지 껍질, 레몬","꽃, 안젤리카 뿌리, 주니퍼 베리","후추, 시트러스, 감귤"
텐커레이 No.10,진,47.3,"라임, 레드 자몽, 안젤리카, 시트러스, 감귤","감초, 레몬, 오렌지, 주니퍼 베리, 화이트 자몽","솔잎, 페퍼콘"
몽키 47,진,47.0,"시트러스, 약초, 풍부한, 스파이시","크랜베리, 과일","스파이시, 약초"
선비 진,진,48.0,"주니퍼 베리, 향긋한, 솔","깨끗한, 부드러운, 상쾌한","깔끔한, 감귤"
헨드릭스 진,진,44.0,"향나무, 감귤, 장미, 오이","허브, 오렌지, 장미, 오이, 제비꽃","긴 여운, 신선한, 꽃"
바톤 진,진,40.0,"시트러스, 말린 과일","토피, 깔끔한",깨끗한
몰피 진 레몬,진,41.0,"시트러스, 레몬","레몬, 상큼한, 상쾌한","풍부한, 상쾌한"
몰피 진 오렌지,진,41.0,블러드 오렌지,"블러드 오렌지, 균형 잡힌, 달콤한, 쌉쌀한","복합적인, 긴 여운"
텐커레이 진,진,47.3,"꽃, 안젤리카, 시트러스, 감귤","감초, 선명한, 주니퍼 베리","산뜻한, 솔잎, 페퍼콘"
봄베이 사파이어,진,47.0,"과일, 꽃","레몬, 베리, 고수",강렬한
보타니스트 진,진,46.0,"감귤, 시트러스, 고수, 흙내음, 허브, 주니퍼 베리, 민트","감귤, 시트러스, 허브, 섬세한, 부드러운, 복합적인","균형 잡힌, 주니퍼 베리, 우드, 시나몬, 달콤한, 꽃"
마틴 밀러 웨스트본 진,진,45.2,"소나무, 레몬, 안젤리카, 라임 껍질","시트러스, 감귤, 주니퍼 베리, 고수","계피, 오렌지, 라임, 오이"
보타니스트 진,진,46.0,"고수, 민트, 시트러스, 감귤, 주니퍼 베리, 허브, 흙내음","복합적인, 부드러운, 섬세한, 시트러스, 감귤, 허브","균형 잡힌, 꽃, 달콤한, 시나몬, 주니퍼 베리, 우드"
텐커레이 No.10,진,47.3,"허브, 주니퍼 베리, 시트러스, 감귤","플로럴, 오렌지, 자몽","보태니컬, 묵직한, 캐모마일"
포 필라스 유자 진,진,41.8,"시트러스, 오렌지, 라임","자몽, 금귤, 유자","감귤, 솔잎, 레몬 머틀, 레몬 커드"
키노비 교토 드라이 진,진,45.7,"깨끗한, 유자, 향신료","대나무, 주니퍼 베리, 풀내음","녹차, 생강, 상쾌한, 은은한"
키노비 세이 교토 드라이 진,진,54.5,"강렬한, 유자, 시트러스","주니퍼 베리, 풀내음, 조화로운","생강, 향신료, 깔끔한"
키노티 교토 드라이 진,진,45.1,"꽃, 주니퍼 베리, 시트러스","달콤한, 부드러운, 유자, 레몬","제비꽃, 녹차, 깨끗한"
그린올스 와일드베리,진,37.5,"열대 과일, 주니퍼 베리, 라즈베리","과일, 달콤한, 상큼한","복합적인, 균형 잡힌"
커맨더 런던 드라이 진,진,37.5,"주니퍼 베리, 레몬","주니퍼 베리, 고수, 시트러스, 감귤","청량한, 깔끔한, 달콤한"
블룸 런던 드라이 진,진,40.0,"캐모마일, 주니퍼 베리, 허브","가벼운, 꽃, 달콤한","시트러스, 깔끔한"
깁슨스 런던 드라이 진,진,37.5,"주니퍼 베리, 고수, 안젤리카, 레몬 제스트","감귤, 시트러스, 실키",균형 잡힌
그린올스 진 오리지널,진,37.5,"주니퍼 베리, 시트러스, 신선한","부드러운, 계피, 감귤","쌉쌀한, 달콤한, 긴 여운"
스타 오브 봄베이,진,47.5,"안젤리카, 아몬드, 카시스","코리앤더 씨드, 베리, 레몬 껍질","주니퍼 베리, 청량한, 깔끔한"
볼스 담락 오리지널 진 40%,진,41.8,"고수, 시트러스, 감귤, 주니퍼 베리","레몬, 계피, 아니스, 오렌지","감초, 소나무, 오렌지, 허브"
헨드릭스 진 41.4%,진,41.4,"감귤, 오이, 장미, 향나무","오렌지, 오이, 장미, 제비꽃, 허브","꽃, 신선한"
포 필라스 올리브 리프,진,43.8,"허브, 레몬 머틀","자몽, 주니퍼 베리, 코리앤더 씨드","로즈마리, 월계수, 마카다미아"
봄베이 사파이어 40%,진,40.0,"과일, 꽃","고수, 레몬, 베리",강렬한
볼스 쥬니버,진,42.0,"견과류, 산뜻한, 살구, 체리, 호밀","몰트, 묵직한, 주니퍼 베리, 풍부한","묵직한, 허브, 달콤한"
고든스 진,런던 드라이 진,37.5,"주니퍼 베리, 허브, 코리앤더 씨드","시트러스, 감귤, 주니퍼 베리","스파이시, 깔끔한"
포 필라스 네그로니 진,진,41.8,"라벤더, 향긋한, 소나무","생강, 후추, 향신료","스파이시, 후추, 감초"
지바인 누아종,진,43.9,"꽃, 주니퍼 베리, 고수, 라임","깔끔한, 달콤한, 감초","육두구, 생강, 상쾌한"
지바인 플로레종,진,40.0,"향긋한, 꽃, 카다멈, 풀내음","상쾌한, 부드러운, 라임","카다멈, 주니퍼 베리, 생강, 신선한"
윌리엄 체이스 엘리건트 진,진,48.0,"사과, 감초, 주니퍼 베리, 엘더플라워","사과, 강렬한, 시트러스","과일, 긴 여운, 고수"
