name,Kind,Alcohol,Aroma,Taste,Finish
아메리칸 허니,허니 리큐르,35.5,"꿀, 민트","벌꿀, 과일, 부드러운","부드러운, 벌꿀"
깔루아,리큐르,18.0,"커피, 초콜릿, 바닐라","다크 초콜릿, 달콤한, 커피, 바닐라, 스모키","모카 에스프레소, 화이트 초콜릿"
예거마이스터,리큐르,35.0,"감초, 꽃, 체리, 초콜릿","계피, 다크 초콜릿, 말린 민트, 생강, 자두, 콜라 젤리","감초, 스파이시, 초콜릿, 콜라"
베일리스,리큐르,17.0,"복합적인, 초콜릿, 이국적인, 바닐라, 부드러운, 아이리시 위스키","풍부한, 초콜릿, 크림, 바닐라, 달콤한, 부드러운","은은한, 크림, 달콤한, 부드러운"
잭 다니엘스 허니,리큐르,35.0,"꿀, 바닐라, 셰리, 캐러멜","꿀, 바닐라, 오크",풍부한
서던 컴포트 블랙,리큐르,40.0,"복숭아, 살구","달콤한, 복숭아, 살구, 캐러멜",시나몬
코카레로,리큐르,29.0,"메론, 민트, 꿀, 그린 애플","민트, 라임, 향신료","부드러운, 민트, 향신료"
페트론 시트론지 오렌지,리큐르,35.0,"상쾌한, 오렌지, 달콤한","달콤한, 오렌지, 부드러운",긴 여운
엑스레이티드,리큐르,17.0,"자몽, 시트러스, 향긋한","망고, 오렌지, 패션프루트","긴 여운, 달콤한, 상큼한"
바카디 클래식 칵테일 모히토,리큐르,18.0,"달콤한, 라임",라임 모히또,"상큼한, 쌉쌀한"
디카이퍼 트리플 섹,리큐르,40.0,오렌지,오렌지,달콤한
디카이퍼 피치트리,리큐르,20.0,복숭아,"복숭아, 달콤한","복숭아, 부드러운"
아그와 디 볼리비아,리큐르,30.0,"허브, 풀내음","달콤한, 허브",깔끔한
볼스 핑크 자몽 피크닉,리큐르,17.0,"상큼한, 자몽, 시트러스","자몽, 달콤한, 쌉쌀한","달콤한, 쌉쌀한"
이탈리쿠스,리큐르,20.0,"자몽, 레몬, 라벤더, 허브","베르가못, 상큼한, 쌉쌀한, 달콤한","은은한, 꽃"
서던 컴포트 오리지날,리큐르,35.0,"복숭아, 살구","복숭아, 살구, 캐러멜, 바닐라",시나몬
짐빔 애플,리큐르,35.0,"상쾌한, 청사과","오크, 청사과, 쥬시, 달콤한",사과
티나,리큐르(우리술),16.0,"딸기, 레몬","딸기, 달콤한","달콤한, 쌉쌀한"
잭 다니엘스 허니,리큐르,35.0,"캐러멜, 셰리, 꿀, 바닐라","바닐라, 오크, 꿀",풍부한
미스터 블랙 커피 리큐르,커피 리큐르,23.0,"풍부한, 콜드 브루, 바닐라","콜드 브루, 캐러멜","에스프레소, 설탕"
티나 홈파티 키트,리큐르(우리술),16.0,"딸기, 레몬","딸기, 달콤한","달콤한, 쌉쌀한"
론디아즈 코코넛 럼,리큐르,21.0,"코코넛 밀크, 바닐라","코코넛, 달콤한",진한
듀랑고 커피 리큐르,리큐르,21.0,"커피, 초콜릿","진한, 커피",부드러운
예거마이스터,리큐르,35.0,"체리, 초콜릿, 감초, 꽃","콜라 젤리, 다크 초콜릿, 자두, 계피, 생강, 말린 민트","허브, 은은한"
아그와 디 볼리비아,리큐르,30.0,"허브, 풀내음","달콤한, 허브","깔끔한, 청량한"
서던 컴포트 블랙,리큐르,40.0,"복숭아, 살구, 바닐라, 오크","달콤한, 복숭아, 살구, 캐러멜","시나몬, 달콤한"
팔리니 리몬첼로,리큐르,26.0,"레몬, 상큼한","레몬, 쌉쌀한, 달콤한","상큼한, 부드러운, 레몬"
앱솔루트 주스 스트로베리,리큐르,35.0,"딸기, 레몬, 바닐라","딸기, 달콤한, 상큼한","달콤한, 상큼한"
파이어볼,리큐르,33.0,"시나몬, 민트, 정향","달콤한, 시나몬, 오렌지, 소나무","시나몬, 강렬한"
코발 크랜베리 진,진 리큐르,30.0,"크랜베리, 과일, 라벤더, 소나무","크랜베리, 주니퍼 베리, 장미, 레몬","시트러스, 신선한"
아그와 디 볼리비아,리큐르,30.0,"허브, 풀내음","달콤한, 달콤한, 허브","깔끔한, 시원한"
스카이 체리,리큐르,35.0,체리,"체리 잼, 상큼한, 달콤한","체리, 상큼한, 달콤한"
마리브리자드 트리플 섹,리큐르,39.0,"오렌지, 오렌지 껍질, 꽃","오렌지, 달콤한, 쌉쌀한","달콤한, 쌉쌀한, 상큼한"
마리브리자드 아마레또,리큐르,23.0,"아몬드, 고소한","아몬드, 달콤한, 타닌","부드러운, 쌉쌀한, 달콤한"
마리브리자드 파르페아모르,리큐르,25.0,"꽃, 네롤리, 오렌지, 바닐라","오렌지, 바닐라, 달콤한","은은한, 향긋한"
마리브리자드 바이올렛,리큐르,30.0,"은은한, 제비꽃, 꽃, 과일","꽃, 시트러스, 감귤","부드러운, 쌉쌀한"
마리브리자드 라즈베리,리큐르,16.0,라즈베리,"신선한, 라즈베리, 달콤한","라즈베리, 상큼한"
아그와 디아블로,리큐르,20.0,"코카, 오렌지, 향신료, 생강","말린 과일, 오렌지, 허브","달콤한, 쌉쌀한, 부드러운"
파이어볼 콜렉터스,리큐르,33.0,"계피, 민트, 정향","계피, 달콤한, 오렌지, 소나무","긴 여운, 스파이시"
앱솔루트 주스,리큐르,35.0,"딸기, 레몬, 바닐라","딸기, 달콤한, 상큼한","달콤한, 상큼한"
디카이퍼 체리 히어링,리큐르,24.0,"체리, 허브","체리, 달콤한, 상큼한","부드러운, 긴 여운"
디카이퍼 콰이페,리큐르,20.0,리치,"리치, 달콤한, 상큼한",부드러운
디카이퍼 아마레또,리큐르,30.0,"꽃, 아몬드","아몬드, 달콤한","부드러운, 쌉쌀한"
디카이퍼 카페,리큐르,20.0,커피,"달콤한, 쌉쌀한","커피, 부드러운"
디사론노,리큐르,28.0,"꽃, 아몬드, 체리","아몬드, 살구, 달콤한, 쌉쌀한","부드러운, 긴 여운"
생 제르맹,리큐르,20.0,"엘더플라워, 열대 과일","복숭아, 배, 시트러스, 감귤, 달콤한","부드러운, 긴 여운, 달콤한"
디카이퍼 블루큐라소,리큐르,20.0,"오렌지, 레몬",달콤한,상큼한
디카이퍼 카시스,리큐르,15.0,블랙커런트,"베리, 달콤한, 새콤한",부드러운
디카이퍼 워터멜론,리큐르,15.0,수박,"신선한, 달콤한",상큼한
디카이퍼 그레이프후르트,리큐르,15.0,자몽,"달콤한, 상큼한",쌉쌀한
디카이퍼 체리,리큐르,15.0,"체리, 바닐라, 계피, 아몬드","체리, 달콤한, 상큼한",부드러운
아페롤 스프리츠 글라스,리큐르,11.0,"오렌지, 바닐라, 허브","오렌지, 허브, 우아한, 달콤한, 쌉쌀한","부드러운, 긴 여운, 쌉쌀한"
아그와 XO,리큐르,43.0,"마카, 허브","달콤한, 쌉쌀한","부드러운, 청량한, 긴 여운"
힙노틱,리큐르,17.0,"망고, 배, 파인애플","오렌지, 꼬냑, 패션프루트","달콤한, 부드러운, 열대 과일"
솔레 리몬첼로,리큐르,25.0,"신선한, 레몬","레몬, 달콤한","새콤한, 은은한"
바카디 모히토 홀리데이 키트,리큐르,18.0,"달콤한, 라임, 허브",라임 모히토,"상큼한, 쌉쌀한, 달콤한"
피치트리,리큐르,20.0,복숭아,"복숭아, 달콤한","복숭아, 부드러운"
예거마이스터,리큐르,35.0,"체리, 초콜릿, 감초, 꽃","콜라 젤리, 다크 초콜릿, 자두, 계피, 생강, 말린 민트","허브, 달콤한, 쌉쌀한"
론디아즈 코코넛 럼,리큐르,21.0,"코코넛 밀크, 바닐라","코코넛, 달콤한",부드러운
미스터 블랙,커피 리큐르,23.0,"콜드 브루, 커피, 바닐라","캐러멜, 다크 초콜릿, 콜드 브루","에스프레소, 달콤한"
콜로마 그랑 리저브,커피 리큐르,25.0,"커피, 바닐라, 오크","커피, 바닐라, 초콜릿, 달콤한","부드러운, 긴 여운, 스모키"
콜로마 크레마,커피 리큐르,20.0,"커피, 바닐라","커피, 초콜릿, 캐러멜","부드러운, 달콤한"
