name,Kind,Alcohol,Aroma,Taste,Finish
론디아즈 151 럼,럼,75.5,"달콤한, 체리, 오렌지","강렬한, 바닐라, 럼","긴 여운, 강렬한, 스파이시"
말리부 오리지널,럼,21.0,"열대 과일, 코코넛","바닐라, 코코넛",달콤한
디플로마티코 리제르바 익스클루시바,다크럼,40.0,"메이플 시럽, 오렌지, 토피, 감초","코코아, 바닐라, 오크, 스파이시","커피, 오크"
바카디 럼콕,럼,40.0,"바닐라, 아몬드, 오크","달콤한, 깔끔한",부드러운
디플로마티코 만투아노,다크 럼,40.0,"건자두, 오크, 스파이시","말린 과일, 우드, 바닐라",스파이시
프라야 엘리먼츠,럼,40.0,"바닐라, 꿀, 토피, 버터스카치, 생강, 꽃","버터스카치, 바닐라, 캐러멜, 꿀, 꽃, 스파이스","캐러멜, 따뜻한, 달콤한"
프라야 골드,럼,40.0,"바닐라, 꿀, 코코넛, 건포도","파인애플, 감귤, 크렘 브륄레, 버터스카치, 스파이스","바닐라 아이스크림, 부드러운"
론디아즈 151 럼,럼,75.5,"달콤한, 체리, 오렌지","강렬한, 바닐라, 럼","강렬한, 긴 여운, 스파이시"
론디아즈 골드 럼,럼,40.0,"바닐라, 설탕","부드러운, 달콤한",균형 잡힌
론디아즈 실버 럼,럼,40.0,"바닐라, 코코넛, 설탕","깔끔한, 달콤한",부드러운
돈 파파 럼,럼,40.0,"바닐라, 꿀, 설탕, 빵, 오렌지","열대 과일, 달콤한, 커스터드","달콤한, 부드러운"
디플로마티코 싱글 빈티지 2005,다크 럼,43.0,"커피, 초콜릿, 담뱃잎, 바닐라, 풍부한, 과일","다크 초콜릿, 과일, 바닐라, 캐러멜","스파이시, 긴 여운"
돈 파파 10년,럼,43.0,"다크 초콜릿, 말린 과일","다크 초콜릿, 과일, 바닐라, 캐러멜",긴 여운
돈 파파 셰리 캐스크 럼,럼,45.0,"과일, 견과류, 시나몬","과일, 넛맥","긴 여운, 부드러운"
디플로마티코 리제르바 익스클루시바,다크 럼,40.0,"메이플 시럽, 오렌지, 토피, 감초","코코아, 바닐라, 오크, 스파이시","커피, 오크"
범부 럼,럼,35.0,"꽃, 바닐라, 시나몬, 코코넛","열대 과일, 초콜릿, 커피, 달콤한","부드러운, 달콤한"
하우스 픽 럼,럼,37.5,달콤한,"달콤한, 깔끔한",부드러운
플랜테이션 파인애플 럼,럼,40.0,"스모키, 열대 과일, 파인애플, 감귤, 정향, 시트러스","잘 익은 바나나, 파인애플, 달콤한","스파이시, 스모키"
골드 오브 모리셔스 다크 럼,럼,40.0,"구운 견과류, 몰트, 바닐라, 오크","달콤한, 시나몬, 초콜릿, 캐러멜","긴 여운, 넛맥, 부드러운, 스파이시"
솔레라5 골드 오브 모리셔스 다크 럼,럼,40.0,"구운 견과류, 초콜릿, 바닐라","오크, 몰트, 부드러운, 달콤한","부드러운, 긴 여운, 달콤한"
디플로마티코 만투아노,다크럼,40.0,"건자두, 오크, 스파이시","말린 과일, 우드, 바닐라",스파이시
디플로마티코 리제르바 익스클루시바,다크 럼,40.0,"메이플 시럽, 오렌지, 토피, 감초","오크, 코코아, 바닐라, 스파이시","오크, 커피"
돈 파파 포트 캐스크 럼,럼,40.0,"바닐라, 오크, 말린 과일","열대 과일, 견과류, 말린 과일","달콤한, 부드러운, 긴 여운"
베리타스 럼,럼,47.0,"사탕, 꽃, 아몬드, 바닐라","바나나, 감귤, 캐러멜, 패션프루트, 파인애플","아몬드, 크렘 브륄레, 화이트 초콜릿"
햄든 8년,럼,46.0,"열대 과일, 캐러멜, 사과","달콤한, 스모키, 바나나","긴 여운, 부드러운, 복합적인, 강렬한"
햄든 오버프루프,럼,60.0,"꽃, 파인애플, 캐러멜, 오크, 바닐라","코코넛, 바나나, 풀, 자두, 사과","긴 여운, 스파이시, 강렬한"
디플로마티코 리제르바 익스클루시바,다크럼,40.0,"메이플 시럽, 오렌지, 토피, 감초","코코아, 바닐라, 오크, 스파이시","달콤한, 커피, 오크, 부드러운, 긴 여운"
맥네어스 럼 파나마 7년,럼,46.0,"망고, 복숭아, 생강","바나나, 파파야, 망고, 코코넛","토피, 오렌지, 파인애플"
맥네어스 럼 파나마 7년 피티드,럼,46.0,"살구, 코코넛, 시가","캐러멜, 파인애플, 복숭아","달콤한, 피트, 스모키"
맥네어스 럼 파나마 15년,럼,46.0,"바나나, 망고, 아몬드, 모카","파인애플, 망고, 복숭아, 코코넛","오렌지, 달콤한, 스파이시, 긴 여운"
고슬링 블랙 실 럼,럼,40.0,"버터스카치, 바닐라, 허브, 캐러멜, 시나몬","진한, 복합적인, 스파이시, 달콤한, 당밀, 과일 조림, 오렌지","부드러운, 우아한, 바닐라, 정향"
솔레라8 골드 오브 모리셔스 다크 럼,럼,40.0,"견과류, 바닐라, 오크, 커피","견과류, 달콤한, 초콜릿, 커피","강렬한, 균형 잡힌, 긴 여운"
론디아즈 골드 럼,럼,40.0,"바닐라, 오크","부드러운, 달콤한, 오렌지","균형 잡힌, 부드러운"
고슬링 패밀리 리저브 올드 럼,럼,40.0,"가죽, 초콜릿, 후추","스파이시, 깊은, 진한, 묵직한","스모키, 바닐라, 타바코"
론 코리나 151,럼,75.5,"바닐라, 코코넛, 스파이스","달콤한, 몰트, 오크, 말린 무화과",강렬한
디플로마티코 만투아노,다크 럼,40.0,"건자두, 오크, 스파이시","말린 과일, 우드, 바닐라, 시나몬",스파이시
카덴헤드 클래식 럼,럼,50.0,"신선한, 레몬, 향신료, 데메라라 설탕","건포도, 케이크, 타바코, 호두, 아몬드, 토피, 초콜릿","스파이시, 후추"
론 콜론 하이 프루프 럼,럼,55.5,"바나나, 파인애플, 자두, 건포도","스파이시, 캐러멜, 밀크 초콜릿, 아몬드, 살구","스모키, 짭짤한, 긴 여운"
