name,Kind,Alcohol,Aroma,Taste,Finish
페트론 실버,데킬라,40.0,시트러스,"부드러운, 달콤한, 과일",후추
페페로페즈 골드,데킬라,40.0,"아가베, 과일","시트러스, 스파이시",깔끔한
호세 쿠엘보 에스페샬,데킬라,39.0,"달콤한, 향긋한, 풀, 오크",용설란,"오크, 바닐라"
씨에라 데킬라 카페,데킬라,25.0,"열대 과일, 로스팅한 커피, 열대 과일",초코 브라우니,달콤한
씨에라 데킬라 실버,데킬라,38.0,"아가베, 허브, 라임, 과일","시트러스, 과일","후추, 깔끔한, 상쾌한"
씨에라 데킬라 레포사도,데킬라,38.0,"허브, 오렌지, 오크","오렌지, 허브, 바닐라","시나몬, 코코아, 부드러운"
듀랑고 데킬라 골드,데킬라,40.0,"바닐라, 오렌지, 꿀, 꽃","아가베, 순수한, 오크, 바닐라","부드러운, 달콤한"
호세 쿠엘보 레포사도,데킬라,39.0,"오크, 바닐라, 용설란",용설란,"달콤한, 용설란"
몬테쥬마 블루,데킬라,40.0,"바닐라, 허브, 오렌지, 스파이시","용설란, 꿀, 풀, 스모키, 파인애플","바닐라, 용설란, 허브"
클라세 아줄 레포사도,데킬라,40.0,"계피, 바나나, 바닐라, 오렌지, 오크","아가베, 바닐라, 정향, 토피, 헤이즐넛","긴 여운, 부드러운, 풍부한"
호세 쿠엘보 실버,데킬라,40.0,"신선한, 뚜렷한, 아가베","순수한, 깔끔한, 아가베","깨끗한, 상쾌한"
호세 쿠엘보 에스페샬 실버,데킬라,38.0,"신선한, 뚜렷한, 아가베","순수한, 깔끔한, 아가베","깨끗한, 상쾌한"
듀랑고 데킬라 골드,데킬라,40.0,"아가베, 순수한, 바닐라","오크, 바닐라, 오렌지, 꿀, 꽃","부드러운, 달콤한"
호세 쿠엘보 실버 단우산,데킬라,38.0,"신선한, 뚜렷한, 아가베","순수한, 깔끔한, 아가베","깨끗한, 상쾌한"
호세 쿠엘보 리제르바 델라 파밀리아 엑스트라 아네호,데킬라,38.0,"오크, 아몬드, 사과, 올리브, 시나몬","구운 아몬드, 바닐라, 오크, 시나몬",긴 여운
버터플라이 캐논 로사 데킬라,데킬라,40.0,"은은한, 달콤한","자몽, 아가베, 신선한","긴 여운, 상쾌한, 자몽 껍질"
클라세 아줄 골드,데킬라,40.0,"건포도, 오렌지, 호두, 아몬드, 아가베, 청사과","다크 초콜릿, 생강, 무화과, 코코아, 올리브, 구운 오크","부드러운, 긴 여운, 복합적인"
고스트 데킬라,데킬라,40.0,"스파이시, 짭짤한, 용설란","백후추, 달콤한, 민트, 바다 내음, 짭짤한","감칠맛, 칼칼한"
플라스크 데킬라 1965 맥가이버 나이프,데킬라,40.0,아가베,"강렬한, 달콤한, 상쾌한","부드러운, 풍부한"
1800 크리스탈리노,데킬라,35.0,"바닐라, 아니스, 체리","바닐라, 향신료, 아가베","시나몬, 부드러운, 깔끔한, 후추"
123 오가닉 우노 블랑코,데킬라,40.0,"신선한, 레몬 껍질, 구운 아가베","스파이시, 흑후추, 미네랄리티, 부드러운","순수한, 깔끔한, 달콤한"
123 오가닉 도스 레포사도,데킬라,40.0,"생동감, 구운 아가베, 바닐라","균형 잡힌, 솔티드 캐러멜, 크렘 브륄레, 토피","우드, 민트, 아니스, 향신료"
123 오가닉 트레스 아네호,데킬라,40.0,"진한, 타닌, 오크","복합적인, 바닐라, 깊은, 캐러멜, 초콜릿",나무
호세 쿠엘보 에스페샬,데킬라,39.0,"달콤한, 향긋한, 풀, 오크",용설란,"바닐라, 오크"
클라세 아줄 레포사도,데킬라,40.0,"계피, 오크, 오렌지, 바닐라, 바나나","바닐라, 헤이즐넛, 토피, 아가베, 정향","부드러운, 풍부한, 긴 여운"
1800 아네호,데킬라,40.0,"시나몬, 캐러멜, 오크","바닐라, 아가베, 달콤한","시나몬, 강렬한, 부드러운"
