name,Kind,Alcohol,Aroma,Taste,Finish
앱솔루트 그레이프,보드카,40.0,"파파야, 청포도, 용과","알코올감, 과일, 부드러운","산뜻한, 신선한, 과일"
티토스 보드카,보드카,40.0,"백후추, 달콤한","달콤한, 향신료","흑후추, 강렬한, 브라질 너트"
앱솔루트 보드카,보드카,40.0,"캐러멜, 바닐라","바닐라, 부드러운","과일, 풍부한, 신선한"
앱솔루트 어피치,보드카,40.0,"체리, 복숭아, 과일","깔끔한, 달콤한, 과일",깔끔한
앱솔루트 페어,보드카,40.0,달콤한,"배, 시원한",깔끔한
스미노프 그린애플,보드카,37.5,"사과, 진한","청사과, 달콤한",달콤한
티토스 보드카 뮬 잔,보드카,40.0,"깔끔한, 달콤한","달콤한, 향신료","부드러운, 견과류"
앱솔루트 엑스트랙,보드카,35.0,"그린 카다멈, 스파이시","풍부한, 상쾌한, 쥬시","부드러운, 진한, 스파이시"
앱솔루트 엘릭스,보드카,42.3,"꽃, 과일",풍부한,깔끔한
UV 블루 라즈베리 보드카,보드카,30.0,"라즈베리, 레몬","라즈베리, 사탕, 달콤한","달콤한, 라즈베리"
UV 체리 보드카,보드카,30.0,체리,"체리, 달콤한, 상큼한","새콤한, 체리, 달콤한"
UV 케이크 보드카,보드카,30.0,"바닐라, 케이크","케이크, 바닐라, 달콤한","부드러운, 케이크"
하우스 픽 보드카,보드카,37.5,무취,"깔끔한, 순수한",균형 잡힌
스카이 보드카,보드카,40.0,깔끔한,깔끔한,부드러운
타카 보드카 클래식,보드카,40.0,"순수한, 깨끗한",깔끔한,부드러운
소비에스키 크랜베리,보드카,37.5,"크랜베리, 상큼한","상큼한, 쌉쌀한",부드러운
소비에스키 그린애플,보드카,37.5,"청사과, 신선한","청사과, 달콤한, 상큼한","부드러운, 달콤한"
앱솔루트 레인보우,보드카,40.0,"순수한, 깨끗한",깔끔한,"부드러운, 깔끔한"
소비에스키 에스프레소,보드카,35.0,"은은한, 커피","커피, 진한",부드러운
소비에스키 시트론,보드카,35.0,"레몬, 시트러스, 감귤","레몬, 상큼한","깔끔한, 신선한"
그레이 구스,보드카,40.0,"신선한, 시트러스, 감귤, 꽃","부드러운, 깔끔한, 상쾌한, 아몬드","산뜻한, 진한 여운"
휘틀리 보드카,보드카,41.0,"은은한, 깔끔한","섬세한, 달콤한, 깔끔한","부드러운, 긴 여운"
벨루가 골드,보드카,40.0,"쌀, 꽃","부드러운, 달콤한","부드러운, 긴 여운"
티토스 보드카 뮬 잔,보드카,40.0,"깔끔한, 달콤한, 후추","달콤한, 향신료","부드러운, 견과류"
앱솔루트 보드카,보드카,40.0,"캐러멜, 바닐라","부드러운, 바닐라","신선한, 풍부한, 과일"
스카이 인퓨전 라즈베리,보드카,35.0,"라즈베리, 달콤한","잘 익은 과일, 베리류, 달콤한","복합적인, 청량한"
