name,Kind,Alcohol,Aroma,Taste,Finish
고든 앤 맥페일 디스틸러리 링크우드 25년,싱글몰트 위스키,46.0,"달콤한, 셰리, 흑설탕, 설탕에 절인 과일","부드러운, 잘 익은 과일, 다크 초콜릿, 헤이즐넛","따뜻한, 향신료, 태운 오크, 참나무"
고든 앤 맥페일 디스틸러리 몰트락 25년,싱글몰트 위스키,46.0,"셰리, 과일 케이크, 생강, 구운 사과, 감귤 껍질","향신료, 오렌지, 베리, 후추, 헤이즐넛","긴 여운, 향신료, 과일, 아몬드, 풍성한"
고든 앤 맥페일 코노세어 초이스 2009 글렌듀란 12년 CS,싱글몰트 위스키,45.0,"딸기, 말린 과일, 구운 견과류, 바이올렛","라즈베리 잼, 사과, 데메라라 설탕, 백후추","꿀, 허브, 레드베리, 시트러스, 감귤, 달콤한"
고든 앤 맥페일 코노세어 초이스 1996 글렌버기 25년 CS,싱글몰트 위스키,59.0,"셰리, 오렌지 마멀레이드, 생강, 구운 아몬드","블랙베리, 사과, 후추, 시트러스, 감귤","달콤한, 과일, 스파이스, 풍부한"
고든 앤 맥페일 코노세어 초이스 1995 글렌카담 26년 CS,싱글몰트 위스키,57.0,"향신료, 셰리, 오렌지 껍질, 설탕에 절인 과일","흑설탕, 과일, 클로브, 시트러스, 감귤","민트, 건포도, 구운 오크, 토피"
고든 앤 맥페일 코노세어 초이스 1996 링크우드 25년 CS,싱글몰트 위스키,54.6,"라즈베리, 딸기, 레몬 껍질, 시나몬","토피, 구운 사과, 블랙커런트, 멘톨","구운 아몬드, 과일"
고든 앤 맥페일 코노세어 초이스 1994 몰트락 27년 CS,싱글몰트 위스키,54.0,"바닐라, 라임, 딸기, 셰리","과일 케이크, 시나몬, 청사과, 넛맥","밀크 초콜릿, 타바코, 견과류, 오크"
와일드 터키 12년,버번 위스키,50.5,"토피, 오렌지, 바닐라, 견과류, 오크, 가죽","캐러멜, 바닐라, 버터스카치, 꿀, 허브, 육두구, 오렌지, 후추","긴 여운, 크렘 브륄레, 메이플 시럽, 오크, 시나몬, 달콤한"
맥캘란 레어 캐스크 2022,싱글몰트 위스키,43.0,"시트러스, 감귤, 바닐라, 건포도, 오렌지, 사과","강렬한, 달콤한, 바닐라, 건포도, 다크 초콜릿, 레몬 껍질","긴 여운, 풍부한"
맥캘란 에스테이트,싱글몰트 위스키,43.0,"시나몬, 나무, 오렌지, 말린 과일, 레몬, 바나나, 캐러멜","건포도, 무화과, 오렌지, 감귤","달콤한, 시트러스"
조니워커 킹 조지 5세,블렌디드 위스키,43.0,"꿀, 오렌지, 장미","견과류, 다크 초콜릿, 스모키",복합적인
코발 싱글 배럴 버번 위스키,버번 위스키,47.0,"향신료, 과일","망고, 바닐라, 캐러멜, 풀","캐러멜, 향신료, 후추"
