name,Kind,Alcohol,Aroma,Taste,Finish
"다나 에스테이트, 바소 까베르네 소비뇽",레드 와인,14.5,"오크, 타바코, 체리, 자두, 레드커런트","체리, 숲, 딸기, 단단한 구조감","크렘 브륄레, 붉은 과일, 딸기, 다크 초콜릿, 은은한"
오린 스위프트 8년 인 더 데저트,레드 와인,15.7,"오크, 라즈베리, 자두, 후추","블랙베리, 라즈베리, 클로브","블루베리, 오크, 바닐라, 체리"
오린 스위프트 팔레르모,레드 와인,15.3,"오크, 바닐라, 초콜릿, 가죽","블랙베리, 자두, 라즈베리, 체리","블루베리, 오크, 바닐라, 체리"
오린 스위프트 파피용,레드 와인,15.1,"오크, 바닐라, 초콜릿","블랙베리, 자두, 가죽","스모키, 초콜릿"
이스까이 말벡 - 까베르네 프랑,레드 와인,14.5,"과일, 다채로운","과일, 오크, 초콜릿, 산미",우아한
케이머스 나파 밸리 까베르네 소비뇽,레드 와인,14.8,"허브, 스파이시, 바이올렛, 바닐라, 오크","블랙베리, 자두, 다크 체리, 블랙커런트","코코아, 초콜릿, 타바코, 가죽"
달바 10년 토니 포트,주정강화(포트) 와인,20.0,"말린 과일, 견과류, 향신료, 헤이즐넛","초콜릿, 고소한, 부드러운, 섬세한","후추, 아몬드, 긴 여운, 스파이시"
SSC 나폴리 프로세코,스파클링 와인,11.0,"청사과, 백도, 감귤, 시트러스, 아카시아","신선한, 청사과, 균형 잡힌, 산미, 시트러스","우아한, 긴 여운"
"라벤토스 이 블랑, 데 닛 로제",스파클링 와인,12.0,"레드베리, 딸기, 시트러스, 자몽, 살구","산미, 탄산감, 붉은 과일","깔끔한, 시트러스"
쓰리 스타 바이 골든 블랑 로제,스파클링 와인,12.0,"꿀, 꽃, 말린 과일","딸기, 체리, 블루베리","달콤한, 부드러운"
루이부요 크레망 드 부르고뉴 그랑 리저브,스파클링 와인,12.0,"복숭아, 꽃, 토스트, 배, 자몽, 신선한, 효모","라임, 사과, 크리스피, 시트러스, 감귤","사과, 브리오슈, 미네랄리티"
프레시넷 꼬든 네그로 까바 브뤼,스파클링 와인,11.5,"꽃, 멜론, 파인애플, 레몬","풋사과, 배, 복숭아, 파인애플, 멜론","탄산감, 상쾌한, 긴 여운"
"투썩 점퍼, '래빗' 모스카토",스파클링 와인,11.0,"귤 껍질, 과일, 꽃","달콤한, 감미로운, 미네랄리티, 탄산감, 청포도, 레몬",신선한
"투썩 점퍼, '폭스' 프로세코",스파클링 와인,11.0,"레몬, 멜론, 허니듀, 복숭아","사과, 살구, 배, 파인애플","깔끔한, 열대 과일"
미스터 블랙스 리틀 북 쉬라즈,레드 와인,15.0,"훈제 베이컨, 오크, 풍부한, 민트, 후추","신선한, 가벼운, 산미, 블랙베리","긴 여운, 긴 여운, 균형 잡힌, 향신료"
룬타 말벡,레드 와인,14.5,"라즈베리, 오크, 체리","바닐라, 자두, 초콜릿","가죽, 블랙커런트, 블루베리"
싸베 씨 말보로 소비뇽 블랑,화이트 와인,13.0,"멜론, 자몽, 패션프루트, 허브","구스베리, 멜론, 자몽, 열대 과일, 복숭아, 미네랄리티","깔끔한, 신선한"
"비네티 자냐타, 레 살리네",화이트 와인,13.0,"열대 과일, 꽃, 바닐라, 오크","레몬 그라스, 민트, 미네랄리티, 짭짤한, 파인애플","균형 잡힌, 꿀"
브레드 앤 버터 샤르도네,화이트 와인,13.5,"버터, 오크, 바닐라","빵, 바나나, 치즈, 배, 사과",긴 여운
푸나무 소비뇽 블랑,화이트 와인,13.0,"젖은 돌, 자몽, 꿀, 멜론, 상큼한, 풀","복숭아, 망고, 열대 과일, 허브, 신선한","신선한, 과일"
섹슈얼 초콜릿,레드 와인,14.5,"체리, 블랙베리, 향신료","꽃, 다크 초콜릿, 블랙베리, 체리","라즈베리, 묵직한, 부드러운, 자두"
